course_id,type_id,title,semester,session,days,start_time,end_time,status_number,instructor,units
Fall2024-1021,SEM,ARHU 101,Fall2024,7W1,TuTh,12.0,14.3,19,Tommaso Tesei,4.0
Fall2024-1086,SEM,ARHU 101,Fall2024,7W2,TuTh,12.0,14.3,18,Selina Lai-Henderson,4.0
Fall2024-1039,SEM,ARHU 102,Fall2024,7W1,MoWe,14.45,17.15,18,Kent Yecheng Cao,4.0
Fall2024-1087,SEM,ARHU 102,Fall2024,7W2,MoWe,12.0,14.3,18,Xiaoqian Ji,4.0
Fall2024-1130,SEM,ARTS 107,Fall2024,7W1,MoWe,10.0,11.15,14,Kent Yecheng Cao,2.0
Fall2024-1131,SEM,ARTS 107,Fall2024,7W1,MoWe,11.45,13.0,14,Kent Yecheng Cao,2.0
Fall2024-1034,SEM,ARTS 210,Fall2024,7W1,TuTh,14.45,17.15,18,Zairong Xiang,4.0
Fall2024-1011,SEM,BEHAVSCI 101,Fall2024,7W1,MoTuWeTh,10.0,11.15,32,Claudia Nisa,4.0
Fall2024-1129,SEM,BEHAVSCI 101,Fall2024,7W2,MoTuWeTh,16.15,17.3,32,Claudia Nisa,4.0
Fall2024-1116,SEM,BEHAVSCI 102,Fall2024,7W2,MoWe,14.45,17.15,25,Gergely Horvath,4.0
Fall2024-1114,SEM,BEHAVSCI 201,Fall2024,7W2,MoWe,14.45,17.15,18,Yanran Yang,4.0
Fall2024-1012,SEM,BEHAVSCI 202,Fall2024,7W1,MoTuWeTh,10.0,11.15,18,Kristinn Mar,4.0
Fall2024-1410,SEM,BEHAVSCI 205,Fall2024,7W2,TuTh,14.45,17.15,18,Chia-chien Chen,4.0
Fall2024-1127,SEM,BEHAVSCI 401,Fall2024,7W1,MoTuWeTh,8.3,9.45,18,Nitisha Desai,4.0
Fall2024-1249,SEM,BEHAVSCI 402,Fall2024,7W1,MoTuWeTh,10.0,11.15,18,Wen Zhou,4.0
Fall2024-1211,LEC,BIOL 110,Fall2024,7W1,MoTuWeTh,8.3,9.45,40,"Xiangdong Gao, Andrew Lin",4.0
Fall2024-1213,LAB,BIOL 110,Fall2024,7W1,Mo,11.3,14.3,20,"Xiangdong Gao, Suhua Li, Andrew Lin, Jin Miao, Mianmian Wang",0.0
Fall2024-1212,REC,BIOL 110,Fall2024,7W1,Tu,11.45,13.0,40,"Xiangdong Gao, Andrew Lin",0.0
Fall2024-1214,LAB,BIOL 110,Fall2024,7W1,We,11.3,14.3,20,"Xiangdong Gao, Suhua Li, Andrew Lin, Jin Miao, Mianmian Wang",0.0
Fall2024-1238,LEC,BIOL 110,Fall2024,7W1,MoTuWeTh,10.0,11.15,40,Jianbo Yue,4.0
Fall2024-1239,LAB,BIOL 110,Fall2024,7W1,Mo,14.45,17.45,20,"Suhua Li, Jin Miao, Mianmian Wang, Jianbo Yue",0.0
Fall2024-1240,REC,BIOL 110,Fall2024,7W1,Mo,13.15,14.3,40,Jianbo Yue,0.0
Fall2024-1241,LAB,BIOL 110,Fall2024,7W1,Tu,14.45,17.45,20,"Suhua Li, Jin Miao, Mianmian Wang, Jianbo Yue",0.0
Fall2024-1307,LEC,BIOL 110,Fall2024,7W2,MoTuWeTh,8.3,9.45,40,"Xiangdong Gao, Jianbo Yue",4.0
Fall2024-1308,LAB,BIOL 110,Fall2024,7W2,Mo,11.3,14.3,20,"Xiangdong Gao, Suhua Li, Mianmian Wang, Jianbo Yue",0.0
Fall2024-1309,REC,BIOL 110,Fall2024,7W2,Tu,11.45,13.0,40,"Xiangdong Gao, Jianbo Yue",0.0
