Section,Title,Session,Days,Start time,End time,Status,Unit
002-SEM (1086),ARHU101,7W2,TuTh,12.00,14.30,18,4
002-SEM (1087),ARHU102,7W2,MoWe,12.00,14.30,18,4
002-SEM (1129),BEHAVSCI101,7W2,MoTuWeTh,16.15,17.30,32,4
001-SEM (1116),BEHAVSCI102,7W2,MoWe,14.45,17.15,25,4
001-SEM (1114),BEHAVSCI201,7W2,MoWe,14.45,17.15,18,4
001-SEM (1410),BEHAVSCI205,7W2,TuTh,14.45,17.15,18,4
005-LEC (1307),BIOL110,7W2,MoTuWeTh,08.30,09.45,40,4
005L-LAB (1308),BIOL110,7W2,Mo,11.30,14.30,20,0
005R-REC (1309),BIOL110,7W2,Tu,11.45,13.00,40,0
006L-LAB (1310),BIOL110,7W2,Mo,14.45,17.45,20,0
001-LEC (1337),BIOL202,7W2,TuTh,12.00,14.30,40,4
001L-LAB (1339),BIOL202,7W2,Tu,14.45,17.45,20,0
001R-REC (1338),BIOL202,7W2,We,18.00,19.15,40,0
002L-LAB (1340),BIOL202,7W2,Th,14.45,17.45,20,0
001-LEC (1312),BIOL212,7W2,MoWe,08.30,11.00,40,4
001L-LAB (1314),BIOL212,7W2,Tu,11.30,14.30,20,0
001R-REC (1313),BIOL212,7W2,Th,08.30,09.45,40,0
002L-LAB (1315),BIOL212,7W2,We,14.45,17.45,20,0
001-LEC (1370),BIOL305,7W2,MoWe,12.00,14.30,40,4
001R-REC (1371),BIOL305,7W2,Tu,14.45,16.00,40,0
001-SEM (1343),BIOL306,7W2,TuTh,08.30,11.00,24,4
001R-REC (1344),BIOL306,7W2,Tu,13.15,14.30,24,0
001-SEM (1409),BIOL320,7W2,MoWe,14.45,17.15,32,4
001-SEM (1384),BIOL407,7W2,MoWe,12.00,14.30,18,4
002-IND (1546),CAPSTONE495,7W2,N/A,N/A,N/A,200,4
088-IND (1660),CAPSTONE495,7W2,TBA,,,10,4
089-IND (1661),CAPSTONE495,7W2,TBA,,,10,4
090-IND (1662),CAPSTONE495,7W2,TBA,,,10,4
091-IND (1663),CAPSTONE495,7W2,TBA,,,10,4
092-IND (1664),CAPSTONE495,7W2,TBA,,,10,4
093-IND (1665),CAPSTONE495,7W2,TBA,,,10,4
094-IND (1666),CAPSTONE495,7W2,TBA,,,10,4
095-IND (1667),CAPSTONE495,7W2,TBA,,,10,4
096-IND (1668),CAPSTONE495,7W2,TBA,,,10,4
097-IND (1669),CAPSTONE495,7W2,TBA,,,10,4
098-IND (1670),CAPSTONE495,7W2,TBA,,,10,4
099-IND (1671),CAPSTONE495,7W2,TBA,,,10,4
100-IND (1672),CAPSTONE495,7W2,TBA,,,10,4
101-IND (1673),CAPSTONE495,7W2,TBA,,,10,4
102-IND (1674),CAPSTONE495,7W2,TBA,,,10,4
103-IND (1675),CAPSTONE495,7W2,TBA,,,10,4
104-IND (1676),CAPSTONE495,7W2,TBA,,,10,4
105-IND (1677),CAPSTONE495,7W2,TBA,,,10,4
106-IND (1678),CAPSTONE495,7W2,TBA,,,10,4
107-IND (1679),CAPSTONE495,7W2,TBA,,,10,4
108-IND (1680),CAPSTONE495,7W2,TBA,,,10,4
109-IND (1681),CAPSTONE495,7W2,TBA,,,10,4
110-IND (1682),CAPSTONE495,7W2,TBA,,,10,4
111-IND (1683),CAPSTONE495,7W2,TBA,,,10,4
112-IND (1684),CAPSTONE495,7W2,TBA,,,10,4
113-IND (1685),CAPSTONE495,7W2,TBA,,,10,4
114-IND (1686),CAPSTONE495,7W2,TBA,,,10,4
115-IND (1687),CAPSTONE495,7W2,TBA,,,10,4
