Section,Title,Session,Days,Start time,End time,Status,Unit
002-SEM (1086),ARHU101,7W2,TuTh,12,14.3,18,4
002-SEM (1087),ARHU102,7W2,MoWe,12,14.3,18,4
002-SEM (1129),BEHAVSCI101,7W2,MoTuWeTh,16.15,17.3,32,4
001-SEM (1116),BEHAVSCI102,7W2,MoWe,14.45,17.15,25,4
001-SEM (1114),BEHAVSCI201,7W2,MoWe,14.45,17.15,18,4
001-SEM (1410),BEHAVSCI205,7W2,TuTh,14.45,17.15,18,4
005-LEC (1307),BIOL110,7W2,MoTuWeTh,8.3,9.45,40,4
005L-LAB (1308),BIOL110,7W2,Mo,11.3,14.3,20,0
005R-REC (1309),BIOL110,7W2,Tu,11.45,13,40,0
006L-LAB (1310),BIOL110,7W2,Mo,14.45,17.45,20,0
001-LEC (1337),BIOL202,7W2,TuTh,12,14.3,40,4
001L-LAB (1339),BIOL202,7W2,Tu,14.45,17.45,20,0
001R-REC (1338),BIOL202,7W2,We,18,19.15,40,0
002L-LAB (1340),BIOL202,7W2,Th,14.45,17.45,20,0
001-LEC (1312),BIOL212,7W2,MoWe,8.3,11,40,4
001L-LAB (1314),BIOL212,7W2,Tu,11.3,14.3,20,0
001R-REC (1313),BIOL212,7W2,Th,8.3,9.45,40,0
002L-LAB (1315),BIOL212,7W2,We,14.45,17.45,20,0
001-LEC (1370),BIOL305,7W2,MoWe,12,14.3,40,4
001R-REC (1371),BIOL305,7W2,Tu,14.45,16,40,0
001-SEM (1343),BIOL306,7W2,TuTh,8.3,11,24,4
001R-REC (1344),BIOL306,7W2,Tu,13.15,14.3,24,0
001-SEM (1409),BIOL320,7W2,MoWe,14.45,17.15,32,4
001-SEM (1384),BIOL407,7W2,MoWe,12,14.3,18,4
003-LEC (1328),CHEM110,7W2,MoTuWeTh,10,11.15,40,4
003L-LAB (1329),CHEM110,7W2,Mo,14.45,17.45,20,0
003R-REC (1330),CHEM110,7W2,Mo,11.45,13,40,0
004L-LAB (1331),CHEM110,7W2,We,11.3,14.3,20,0
001-LEC (1320),CHEM150,7W2,MoTuWeTh,10,11.15,32,4
001L-LAB (1321),CHEM150,7W2,Mo,11.3,14.3,16,0
001R-REC (1323),CHEM150,7W2,We,11.45,13,32,0
002L-LAB (1322),CHEM150,7W2,We,14.45,17.45,16,0
001-LEC (1324),CHEM301,7W2,MoTuWeTh,10,11.15,18,4
001L-LAB (1325),CHEM301,7W2,Tu,11.3,14.3,18,0
001-SEM (1485),CHINESE101,7W2,MoTuWeTh,8.3,9.3,14,2
002-SEM (1486),CHINESE101,7W2,MoTuWeTh,11.45,12.45,14,2
003-SEM (1487),CHINESE101,7W2,MoTuWeTh,10,11,14,2
004-SEM (1488),CHINESE101,7W2,MoTuWeTh,13.15,14.15,14,2
005-SEM (1489),CHINESE101,7W2,MoTuWeTh,10,11,14,2
006-SEM (1490),CHINESE101,7W2,MoTuWeTh,11.45,12.45,14,2
007-SEM (1491),CHINESE101,7W2,MoTuWeTh,13.15,14.15,14,2
008-SEM (1492),CHINESE101,7W2,MoTuWeTh,14.45,15.45,14,2
001-SEM (1501),CHINESE102B,7W2,MoTuWeTh,13.15,14.15,14,2
001-SEM (1505),CHINESE201,7W2,MoTuWeTh,12,13,14,2
002-SEM (1506),CHINESE201,7W2,MoTuWeTh,13.15,14.15,14,2
003-SEM (1507),CHINESE201,7W2,MoTuWeTh,13.3,14.3,14,2
004-SEM (1508),CHINESE201,7W2,MoTuWeTh,14.45,15.45,14,2
005-SEM (1509),CHINESE201,7W2,MoTuWeTh,10,11,14,2
006-SEM (1510),CHINESE201,7W2,MoTuWeTh,11.45,12.45,14,2
007-SEM (1511),CHINESE201,7W2,MoTuWeTh,9.15,10.15,14,2
008-SEM (1512),CHINESE201,7W2,MoTuWeTh,10.3,11.3,14,2
001-SEM (1521),CHINESE202,7W2,MoTuWeTh,18,19,14,2
001-SEM (1934),CHINESE231,7W2,We,16.15,17.45,14,2
001-SEM (1525),CHINESE301,7W2,TuWeTh,13.15,14.3,14,2
002-SEM (1526),CHINESE301,7W2,TuWeTh,14.45,16,14,2
003-SEM (1527),CHINESE301,7W2,TuWeTh,16.15,17.3,14,2
004-SEM (1936),CHINESE301,7W2,TuWeTh,10,11.15,14,2
001-SEM (1524),CHINESE302,7W2,TuWeTh,10,11.15,14,2
001-SEM (1504),CHINESE401,7W2,TuTh,14.45,16,14,2
001-SEM (1531),CHINESE402,7W2,TuTh,10,11.15,14,2
001-SEM (1535),CHINESE412,7W2,TuTh,14.45,16,14,2
