Student Number,Grade,Total Units,Avoided Time Slot,Selected Course 1,Selected Course 2,Selected Course 3,Success
1,4,8,3,001-SEM (1409),002-SEM (1474),001-SEM (1081),0
2,4,8,4,003-LEC (1354),001-SEM (1531),001-LEC (1349),0
3,4,10,1,006-SEM (1490),001-SEM (1113),001-LEC (1303),0
4,4,8,4,003-SEM (1507),001-SEM (1358),001-SEM (1097),1
5,4,10,3,001-SEM (1115),001-SEM (1052),008-SEM (1512),0
6,4,8,2,001-SEM (1053),023-SEM (1193),NA,0
7,4,8,3,001-SEM (1112),001-LEC (1312),NA,1
8,4,10,2,001-SEM (1343),004-SEM (1488),026-SEM (1462),0
9,4,8,1,002-SEM (1129),001-SEM (1083),NA,1
10,4,10,1,014-SEM (1450),002-SEM (1087),001-LEC (1324),0
11,4,10,1,006-SEM (1490),001-SEM (1401),002-SEM (1470),0
12,4,8,3,001-LEC (1061),001-LEC (1302),NA,1
13,4,10,1,016-SEM (1186),001-SEM (1121),001-SEM (1101),0
14,4,8,1,022-SEM (1192),002-SEM (1095),NA,0
15,4,8,2,008-SEM (1444),001-SEM (1119),001-SEM (1409),0
16,4,8,3,023-SEM (1193),002-SEM (1095),NA,1
17,4,10,5,001-SEM (1350),001-LEC (1303),023-SEM (1193),1
18,4,10,3,006-SEM (1490),001-SEM (1524),001-SEM (1392),0
19,4,10,1,001-SEM (1479),022-SEM (1192),002-SEM (1365),0
20,4,10,3,001-SEM (1404),006-SEM (1510),001-SEM (1063),0
21,4,10,2,002-SEM (1123),003-SEM (1527),008-SEM (1492),0
22,4,10,1,001-SEM (1128),002-SEM (1557),003-LEC (1385),0
23,4,10,5,026-SEM (1462),006-SEM (1198),001-SEM (1118),0
24,4,10,5,001-SEM (1091),003-LEC (1354),006-SEM (1442),0
25,4,10,5,004-SEM (1488),002-SEM (1557),001-SEM (1122),0
26,4,10,3,001-LEC (1064),001-LEC (1061),002-SEM (1526),0
27,4,8,2,004-LEC (1305),001-SEM (1537),NA,1
28,4,8,4,001-SEM (1505),005-LEC (1368),001-SEM (1521),0
29,4,10,2,001-SEM (1535),001-SEM (1342),001-LEC (1568),0
30,4,10,3,001-SEM (1082),001-LEC (1064),001-SEM (1327),0
31,4,10,1,001-SEM (1392),001-SEM (1128),001-SEM (1104),1
32,4,10,4,001-SEM (1055),001-SEM (1485),001-SEM (1334),0
33,4,10,1,001-SEM (1535),001-SEM (1413),001-SEM (1390),0
34,4,8,5,002-SEM (1060),001-SEM (1114),NA,1
35,4,8,3,001-SEM (1390),001-SEM (1063),NA,0
36,4,8,3,016-SEM (1186),001-LEC (1373),NA,0
37,4,8,4,019-SEM (1455),001-SEM (1390),005-SEM (1489),0
38,4,8,3,001-LEC (1370),001-SEM (1111),NA,1
39,4,10,2,003-SEM (1507),001-LEC (1064),001-SEM (1124),0
40,4,10,2,003-LEC (1354),001-SEM (1111),001-LEC (1061),1
41,4,8,5,018-SEM (1454),001-LEC (1029),003-SEM (1377),1
42,4,10,4,001-LEC (1061),003-SEM (1487),005-LEC (1368),0
43,4,10,1,002-SEM (1484),001-SEM (1367),006-LEC (1396),1
44,4,8,2,001-SEM (1395),001-SEM (1065),NA,1
45,4,10,2,001-SEM (1116),001-LEC (1389),001-SEM (1121),1
46,4,8,3,001-SEM (1345),001-SEM (1118),NA,0
47,4,10,3,003-LEC (1385),002-SEM (1472),007-SEM (1511),0
48,4,10,4,001-SEM (1051),001-SEM (1525),001-SEM (1084),0
49,4,8,1,001-LEC (1126),001-LEC (1403),NA,0
50,4,8,5,022-SEM (1192),001-SEM (1101),NA,0
51,4,10,1,001-SEM (1391),001-SEM (1556),002-SEM (1092),1
52,4,8,4,001-SEM (1067),001-SEM (1501),005-SEM (1489),0
53,4,8,5,001-LEC (1324),002-SEM (1827),001-SEM (1505),0
54,4,10,1,007-SEM (1201),010-SEM (1446),002-SEM (1060),0
55,4,10,1,001-SEM (1501),008-SEM (1512),001-SEM (1395),0
56,4,10,3,002-SEM (1093),001-SEM (1108),001-SEM (1111),1
57,4,10,1,001-LEC (1349),001-SEM (1118),001-SEM (1525),0
58,4,10,4,001-SEM (1505),017-SEM (1453),001-LEC (1064),0
